date,nominal_rate,expected_inflation,real_rate_approx,real_rate_exact,formula_difference,negative_real_rate
2002-05-01,1.73,2.6186536,-0.8886536,-0.8659766707365901,-0.022676929263409917,True
2002-06-01,1.7,2.3419254,-0.6419254000000001,-0.6272360007798072,-0.014689399220192856,True
2002-07-01,1.68,2.3480992,-0.6680992000000001,-0.6527714781438876,-0.01532772185611253,True
2002-08-01,1.62,2.1314545,-0.5114544999999997,-0.5007805895881012,-0.010673910411898468,True
2002-09-01,1.63,2.0411286,-0.41112860000000007,-0.4029047949985265,-0.008223805001473572,True
2002-10-01,1.58,2.0053377,-0.42533770000000004,-0.41697592458438404,-0.008361775415616002,True
2002-11-01,1.23,2.0305948,-0.8005947999999998,-0.7846615042961691,-0.01593329570383073,True
2002-12-01,1.19,1.9511579,-0.7611578999999999,-0.7465907358762847,-0.014567164123715282,True
2003-01-01,1.17,2.0790118,-0.9090118,-0.8904982365826597,-0.01851356341734034,True
2003-02-01,1.17,2.1065381,-0.9365380999999999,-0.9172165832150636,-0.01932151678493632,True
2003-03-01,1.13,1.903343,-0.7733430000000001,-0.7588985574300322,-0.014444442569967908,True
2003-04-01,1.13,1.9895133,-0.8595133000000001,-0.8427467414926726,-0.016766558507327556,True
2003-05-01,1.07,1.8385312,-0.7685312,-0.7546566029027701,-0.013874597097229824,True
2003-06-01,0.92,2.2847306,-1.3647306000000001,-1.334246658317928,-0.030483941682072135,True
2003-07-01,0.9,1.6263355,-0.7263354999999999,-0.7147118868612634,-0.0116236131387365,True
2003-08-01,0.95,1.8526073,-0.9026073000000001,-0.8861896852001339,-0.016417614799866254,True
2003-09-01,0.94,1.9804944,-1.0404944,-1.0202876600292288,-0.02020673997077127,True
2003-10-01,0.92,1.7885532,-0.8685531999999999,-0.8532916253298217,-0.01526157467017819,True
2003-11-01,0.93,1.9308072,-1.0008072000000001,-0.9818495776613423,-0.01895762233865783,True
2003-12-01,0.9,2.2234564,-1.3234564,-1.2946699775258197,-0.028786422474180284,True
2004-01-01,0.88,1.9069713,-1.0269713,-1.0077537256766633,-0.019217574323336706,True
2004-02-01,0.93,1.9871939,-1.0571939000000001,-1.0365947523142793,-0.020599147685720798,True
2004-03-01,0.94,1.7042839,-0.7642839000000001,-0.7514766052052035,-0.012807294794796587,True
2004-04-01,0.94,1.8527671,-0.9127670999999999,-0.8961632815570164,-0.01660381844298353,True
2004-05-01,1.02,2.2141024,-1.1941023999999998,-1.168236448750537,-0.025865951249462782,True
2004-06-01,1.27,2.5740778,-1.3040778,-1.2713522051280068,-0.03272559487199311,True
2004-07-01,1.33,2.2558469,-0.9258468999999998,-0.9054219666337682,-0.020424933366231635,True
2004-08-01,1.48,2.3408529,-0.8608528999999998,-0.8411625226938058,-0.01969037730619405,True
2004-09-01,1.65,2.6767708,-1.0267708,-1.0000030113919367,-0.02676778860806328,True
2004-10-01,1.76,2.145831,-0.3858309999999998,-0.377725645993332,-0.008105354006667786,True
2004-11-01,2.07,2.2068239,-0.1368239,-0.13386963294532706,-0.0029542670546729433,True
2004-12-01,2.19,1.7525286,0.43747139999999995,0.42993663746653255,0.0075347625334674095,False
2005-01-01,2.33,2.1405957,0.18940430000000008,0.1854348887452284,0.003969411254771682,False
2005-02-01,2.54,2.1370072,0.4029927999999998,0.39456100295838237,0.00843179704161745,False
2005-03-01,2.74,2.3342418,0.4057582000000002,0.3965028644009827,0.009255335599017478,False
2005-04-01,2.78,2.4622893,0.3177106999999997,0.31007573827457335,0.007634961725426326,False
2005-05-01,2.84,2.5780667,0.2619332999999999,0.2553502014870812,0.006583098512918717,False
2005-06-01,2.97,2.3619011,0.6080989000000003,0.5940676105711695,0.014031289428830807,False
2005-07-01,3.22,2.3318043,0.8881957000000003,0.8679566495242597,0.020239050475740594,False
2005-08-01,3.44,2.4638191,0.9761809000000001,0.9527079007735306,0.023472999226469504,False
2005-09-01,3.42,2.3538136,1.0661863999999999,1.0416674889776711,0.024518911022328727,False
2005-10-01,3.71,2.8474638,0.8625362000000001,0.83865578025073,0.023880419749270132,False
2005-11-01,3.88,3.0510174,0.8289825999999998,0.8044390253637568,0.024543574636243015,False
2005-12-01,3.89,3.2271725,0.6628275000000001,0.6421056432597716,0.020721856740228528,False
2006-01-01,4.24,2.4027758,1.8372242,1.7941156239633882,0.04310857603661189,False
2006-02-01,4.43,2.5082827,1.9217172999999996,1.8746946582102852,0.04702264178971438,False
2006-03-01,4.51,1.768612,2.7413879999999997,2.6937460835173788,0.04764191648262095,False
2006-04-01,4.6,2.6830379,1.9169620999999997,1.8668731849040832,0.05008891509591651,False
2006-05-01,4.72,2.8830197,1.8369802999999996,1.7855038716364513,0.051476428363548266,False
2006-06-01,4.79,2.7447553,2.0452447,1.9906073979427674,0.054637302057232606,False
2006-07-01,4.95,2.8005219,2.1494781,2.090921388600475,0.0585567113995249,False
2006-08-01,4.96,2.8670646,2.0929354,2.034602045016465,0.0583333549835352,False
2006-09-01,4.81,2.6513028,2.1586971999999998,2.1029418440074554,0.05575535599254433,False
2006-10-01,4.92,2.4007047,2.5192953,2.4602323854906016,0.05906291450939838,False
2006-11-01,4.94,1.8893923,3.0506077000000005,2.9940385658772994,0.05656913412270104,False
2006-12-01,4.85,1.9891528,2.8608471999999994,2.8050504602289417,0.0557967397710577,False
